kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3517,Jombang,2022,5.47,0.77,873925,1278825,68.33812288624324,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3517,Jombang,2023,4.66,0.91,874295,1283132,68.13757275167325,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3517,Jombang,2024,3.75,0.89,874046,1287108,67.90774356153484,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3517,Jombang,2025,3.28,0.88,872920,1290736,67.62963146607827,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3518,Nganjuk,2018,2.6,0.42,718974,1051503,68.37583915595106,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3518,Nganjuk,2019,3.16,0.4,719598,1054700,68.22774248601498,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3518,Nganjuk,2020,4.8,0.8,719729,1057547,68.05645517409629,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3518,Nganjuk,2021,4.98,0.7,719387,1060086,67.86119239382465,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3518,Nganjuk,2022,4.74,0.68,718612,1062357,67.64317456372952,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3518,Nganjuk,2023,4.68,0.68,717306,1064353,67.39361847056381,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3518,Nganjuk,2024,3.87,0.67,715532,1066067,67.1188583831973,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3518,Nganjuk,2025,3.84,0.65,713044,1067485,66.7966294608355,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3519,Madiun,2018,3.71,0.35,467359,681227,68.60547218474899,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3519,Madiun,2019,3.52,0.33,467437,682868,68.45202879619488,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3519,Madiun,2020,4.8,1.14,467189,684279,68.27463651522258,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3519,Madiun,2021,4.99,1.04,466629,685490,68.0723278238924,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3519,Madiun,2022,5.84,1.02,465774,686525,67.84516223007174,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3519,Madiun,2023,5.14,0.49,464556,687381,67.58347990415797,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3519,Madiun,2024,4.34,0.48,463021,688054,67.29428213483244,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3519,Madiun,2025,3.22,0.47,461018,688535,66.95636387402239,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2018,3.82,0.17,428628,632192,67.80028851994331,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2019,2.98,0.15,428322,633714,67.58916482829794,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2020,3.74,0.76,427672,635024,67.34737584721208,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2021,3.86,0.66,426677,636148,67.07197067349108,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2022,4.33,0.64,425394,637108,66.76952730149362,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2023,4.16,0.59,423796,637903,66.43580607082895,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2024,3.28,0.58,421910,638527,66.0755144261715,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3520,Magetan,2025,3.26,0.57,419616,638974,65.6702776638799,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3521,Ngawi,2018,3.75,0.19,582840,835101,69.79275560680685,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3521,Ngawi,2019,3.6,0.17,582966,837112,69.64014373226044,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3521,Ngawi,2020,5.44,0.6,582684,838842,69.4629024297782,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3521,Ngawi,2021,4.25,0.5,582002,840327,69.25899084523049,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3521,Ngawi,2022,2.48,0.48,580952,841595,69.02987779157434,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3521,Ngawi,2023,2.41,0.44,579471,842645,68.76810519257813,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3521,Ngawi,2024,2.4,0.43,577617,843470,68.48103666994677,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3521,Ngawi,2025,2.26,0.41,575196,844059,68.14642104402654,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3522,Bojonegoro,2018,4.11,0.37,883266,1246580,70.85513966211555,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
