kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten TUBAN,60-64,27491,33113,60604
Kabupaten TUBAN,65-69,22657,21856,44513
Kabupaten TUBAN,70-74,15651,18084,33735
Kabupaten TUBAN,75+,13119,25243,38362
Kabupaten LAMONGAN,0-4,38276,37139,75415
Kabupaten LAMONGAN,5-9,39884,38118,78002
Kabupaten LAMONGAN,10-14,41082,40253,81335
Kabupaten LAMONGAN,15-19,45185,43707,88892
Kabupaten LAMONGAN,20-24,38205,40393,78598
Kabupaten LAMONGAN,25-29,35910,38039,73949
Kabupaten LAMONGAN,30-34,47363,39040,86403
Kabupaten LAMONGAN,35-39,33906,47528,81434
Kabupaten LAMONGAN,40-44,43338,49443,92781
Kabupaten LAMONGAN,45-49,46339,45090,91429
Kabupaten LAMONGAN,50-54,44801,49924,94725
Kabupaten LAMONGAN,55-59,41892,41793,83685
Kabupaten LAMONGAN,60-64,31275,34101,65376
Kabupaten LAMONGAN,65-69,25956,28839,54795
Kabupaten LAMONGAN,70-74,17977,19577,37554
Kabupaten LAMONGAN,75+,14343,27541,41884
Kabupaten GRESIK,0-4,53566,51146,104712
Kabupaten GRESIK,5-9,52211,50089,102300
Kabupaten GRESIK,10-14,49834,48932,98766
Kabupaten GRESIK,15-19,49780,48368,98148
Kabupaten GRESIK,20-24,50591,53539,104130
Kabupaten GRESIK,25-29,55571,54840,110411
Kabupaten GRESIK,30-34,57969,56838,114807
Kabupaten GRESIK,35-39,56494,57977,114471
Kabupaten GRESIK,40-44,53077,49977,103054
Kabupaten GRESIK,45-49,46489,49514,96003
Kabupaten GRESIK,50-54,43571,44476,88047
Kabupaten GRESIK,55-59,36112,36882,72994
Kabupaten GRESIK,60-64,28266,36072,64338
Kabupaten GRESIK,65-69,16324,13678,30002
Kabupaten GRESIK,70-74,13451,16690,30141
Kabupaten GRESIK,75+,9079,15050,24129
Kabupaten BANGKALAN,0-4,29917,31465,61382
Kabupaten BANGKALAN,5-9,51322,47322,98644
Kabupaten BANGKALAN,10-14,43865,41331,85196
Kabupaten BANGKALAN,15-19,48421,48022,96443
Kabupaten BANGKALAN,20-24,38475,35239,73714
Kabupaten BANGKALAN,25-29,33135,42487,75622
Kabupaten BANGKALAN,30-34,28698,32850,61548
Kabupaten BANGKALAN,35-39,31602,34600,66202
Kabupaten BANGKALAN,40-44,29516,34804,64320
Kabupaten BANGKALAN,45-49,29255,34206,63461
Kabupaten BANGKALAN,50-54,29956,24873,54829
Kabupaten BANGKALAN,55-59,24368,36966,61334
Kabupaten BANGKALAN,60-64,22031,25701,47732
Kabupaten BANGKALAN,65-69,17260,23148,40408
Kabupaten BANGKALAN,70-74,14105,14873,28978
Kabupaten BANGKALAN,75+,10706,20218,30924
Kabupaten SAMPANG,0-4,40557,38936,79493
Kabupaten SAMPANG,5-9,43046,43132,86178
Kabupaten SAMPANG,10-14,50827,48713,99540
Kabupaten SAMPANG,15-19,47273,43410,90683
Kabupaten SAMPANG,20-24,39363,39816,79179
Kabupaten SAMPANG,25-29,39375,44713,84088
Kabupaten SAMPANG,30-34,31984,32263,64247
Kabupaten SAMPANG,35-39,34153,37320,71473
Kabupaten SAMPANG,40-44,30584,31050,61634
Kabupaten SAMPANG,45-49,29627,35273,64900
Kabupaten SAMPANG,50-54,27481,22796,50277
Kabupaten SAMPANG,55-59,24177,34776,58953
Kabupaten SAMPANG,60-64,19970,24717,44687
Kabupaten SAMPANG,65-69,15765,16662,32427
Kabupaten SAMPANG,70-74,6222,13379,19601
Kabupaten SAMPANG,75+,11928,12150,24078
Kabupaten PAMEKASAN,0-4,36116,30283,66399
Kabupaten PAMEKASAN,5-9,29801,33690,63491
Kabupaten PAMEKASAN,10-14,41203,35966,77169
Kabupaten PAMEKASAN,15-19,37950,39240,77190
Kabupaten PAMEKASAN,20-24,29166,35434,64600
Kabupaten PAMEKASAN,25-29,40696,39339,80035
Kabupaten PAMEKASAN,30-34,31362,36130,67492
Kabupaten PAMEKASAN,35-39,36344,34230,70574
Kabupaten PAMEKASAN,40-44,29829,32830,62659
Kabupaten PAMEKASAN,45-49,30517,31699,62216
Kabupaten PAMEKASAN,50-54,27685,27647,55332
Kabupaten PAMEKASAN,55-59,21393,26900,48293
Kabupaten PAMEKASAN,60-64,18231,21271,39502
Kabupaten PAMEKASAN,65-69,14189,15945,30134
Kabupaten PAMEKASAN,70-74,8464,10057,18521
Kabupaten PAMEKASAN,75+,7526,15363,22889
Kabupaten SUMENEP,0-4,31553,32178,63731
Kabupaten SUMENEP,5-9,35928,34241,70169
Kabupaten SUMENEP,10-14,35033,34424,69457
Kabupaten SUMENEP,15-19,35806,36465,72271
Kabupaten SUMENEP,20-24,32026,37379,69405
Kabupaten SUMENEP,25-29,37486,42402,79888
Kabupaten SUMENEP,30-34,40184,42414,82598
Kabupaten SUMENEP,35-39,41665,44145,85810
Kabupaten SUMENEP,40-44,41988,44685,86673
Kabupaten SUMENEP,45-49,39830,43686,83516
Kabupaten SUMENEP,50-54,36420,33619,70039
Kabupaten SUMENEP,55-59,37889,49184,87073
Kabupaten SUMENEP,60-64,28106,34128,62234
Kabupaten SUMENEP,65-69,24744,30670,55414
Kabupaten SUMENEP,70-74,14849,19209,34058
Kabupaten SUMENEP,75+,9483,18160,27643
Kota KEDIRI,0-4,10421,9354,19775
Kota KEDIRI,5-9,10065,10680,20745
Kota KEDIRI,10-14,9554,10508,20062
Kota KEDIRI,15-19,11802,10849,22651
Kota KEDIRI,20-24,14645,11163,25808
Kota KEDIRI,25-29,11250,11755,23005
Kota KEDIRI,30-34,11463,10499,21962
Kota KEDIRI,35-39,10453,9850,20303
Kota KEDIRI,40-44,9337,10596,19933
Kota KEDIRI,45-49,11435,11031,22466
Kota KEDIRI,50-54,9904,11299,21203
Kota KEDIRI,55-59,8366,8885,17251
Kota KEDIRI,60-64,6643,7230,13873
Kota KEDIRI,65-69,4471,5075,9546
Kota KEDIRI,70-74,3079,2439,5518
Kota KEDIRI,75+,3035,5791,8826
Kota BLITAR,0-4,5216,4795,10011
Kota BLITAR,5-9,5340,5119,10459
Kota BLITAR,10-14,4832,5036,9868
Kota BLITAR,15-19,5333,5204,10537
Kota BLITAR,20-24,4265,3910,8175
Kota BLITAR,25-29,6278,6191,12469
Kota BLITAR,30-34,5980,5331,11311
Kota BLITAR,35-39,4562,4673,9235
Kota BLITAR,40-44,4780,5689,10469
Kota BLITAR,45-49,5513,5119,10632
Kota BLITAR,50-54,5336,6718,12054
Kota BLITAR,55-59,4095,3575,7670
Kota BLITAR,60-64,3809,4373,8182
Kota BLITAR,65-69,2448,2207,4655
Kota BLITAR,70-74,2312,2233,4545
Kota BLITAR,75+,1675,2780,4455
Kota MALANG,0-4,30122,31452,61574
Kota MALANG,5-9,28294,25027,53321
Kota MALANG,10-14,28835,26859,55694
Kota MALANG,15-19,33741,39995,73736
Kota MALANG,20-24,50406,48445,98851
Kota MALANG,25-29,40104,36884,76988
Kota MALANG,30-34,32633,30234,62867
Kota MALANG,35-39,32239,31891,64130
Kota MALANG,40-44,27484,29290,56774
Kota MALANG,45-49,30491,31944,62435
Kota MALANG,50-54,29185,33947,63132
Kota MALANG,55-59,21824,23149,44973
Kota MALANG,60-64,21240,22028,43268
Kota MALANG,65-69,11604,13753,25357
Kota MALANG,70-74,12773,9622,22395
Kota MALANG,75+,4995,13870,18865
Kota PROBOLINGGO,0-4,10169,9591,19760
Kota PROBOLINGGO,5-9,8474,8537,17011
Kota PROBOLINGGO,10-14,9657,9191,18848
Kota PROBOLINGGO,15-19,8724,9033,17757
Kota PROBOLINGGO,20-24,8639,9823,18462
Kota PROBOLINGGO,25-29,9769,8726,18495
Kota PROBOLINGGO,30-34,10007,9438,19445
Kota PROBOLINGGO,35-39,8787,9369,18156
Kota PROBOLINGGO,40-44,9274,9134,18408
Kota PROBOLINGGO,45-49,8439,9277,17716
Kota PROBOLINGGO,50-54,7657,9776,17433
Kota PROBOLINGGO,55-59,7151,5619,12770
Kota PROBOLINGGO,60-64,5415,6584,11999
Kota PROBOLINGGO,65-69,3574,2989,6563
Kota PROBOLINGGO,70-74,1944,3340,5284
Kota PROBOLINGGO,75+,2245,3004,5249
Kota PASURUAN,0-4,7942,8193,16135
Kota PASURUAN,5-9,8585,7545,16130
